🌐 大街,#genre#
緯來日本,rtmp://f13h.mine.nu/sat/tv771
民視,rtmp://f13h.mine.nu/sat/tv051
台視,rtmp://f13h.mine.nu/sat/tv071
中視,rtmp://f13h.mine.nu/sat/tv091
華視,rtmp://f13h.mine.nu/sat/tv111
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
東森超視,rtmp://f13h.mine.nu/sat/tv331
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
MoMo,rtmp://f13h.mine.nu/sat/tv761
ELTA體育1,http://50.7.234.10:8278/eltasport_twn/playlist.m3u8?tid=MF1F8884668388846683&ct=19249&tsum=b676f636b8ef285596dc6512fc4659d4
ELTA體育2,http://50.7.234.10:8278/eltasport2_twn/playlist.m3u8?tid=ME3E4844502848445028&ct=19317&tsum=035fc643389fcb4a6bf124bca1248aab
ELTA體育4,http://50.7.234.10:8278/natgeowild_twn/playlist.m3u8?tid=MDDD9803492998034929&ct=18393&tsum=b276f2598186cdc8f4c513d89bfc2032
DAZN體育1,rtmp://f13h.mine.nu/sat/tv731
DAZN體育2,rtmp://f13h.mine.nu/sat/tv741
中視閩南,rtmp://f13h.mine.nu/sat/tv091
視閩南,rtmp://f13h.mine.nu/sat/tv071
華視閩南,rtmp://f13h.mine.nu/sat/tv111
東森超視,rtmp://f13h.mine.nu/sat/tv331
MoMo,rtmp://f13h.mine.nu/sat/tv761
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2,rtmp://f13h.mine.nu/sat/tv741
中視閩南,rtmp://f13h.mine.nu/sat/tv091
視閩南,rtmp://f13h.mine.nu/sat/tv071
華視閩南,rtmp://f13h.mine.nu/sat/tv111
東森超視,rtmp://f13h.mine.nu/sat/tv331
MoMo,rtmp://f13h.mine.nu/sat/tv761
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2,rtmp://f13h.mine.nu/sat/tv741
民視,rtmp://f13h.mine.nu/sat/tv051
中視,rtmp://f13h.mine.nu/sat/tv091
華視,rtmp://f13h.mine.nu/sat/tv111
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來日本,rtmp://f13h.mine.nu/sat/tv771
東森超視,rtmp://f13h.mine.nu/sat/tv331
MoMo,rtmp://f13h.mine.nu/sat/tv761
