頻道,#genre#
緯來日本台,http://154.44.15.148:5781/v/1/433
緯來精彩,http://154.44.15.148:5781/v/1/435
緯來綜合台,http://154.44.15.148:5781/v/1/436
緯來育樂,http://154.44.15.148:5781/v/1/437
美食星球,http://154.44.15.148:5781/v/1/439
翡翠台,http://154.44.15.148:5781/v/1/440
翡翠台 backup,http://154.44.15.148:5781/v/1/441
阿里郎 Arirang,http://154.44.15.148:5781/v/1/442
靖天卡通台,http://154.44.15.148:5781/v/1/443
靖天國際台,http://154.44.15.148:5781/v/1/444
龍華偶像,http://154.44.15.148:5781/v/1/446
龍華戲劇 Lunghua Drama,http://154.44.15.148:5781/v/1/447
龍華戲劇台,http://154.44.15.148:5781/v/1/448
三立台灣 Sanli Taiwan,http://154.44.15.148:5781/v/1/353
三立戲劇台,http://154.44.15.148:5781/v/1/354
三立綜合 Sanli Metro,http://154.44.15.148:5781/v/1/355
三立都會台,http://154.44.15.148:5781/v/1/356
東方衛視,http://154.44.15.148:5781/v/1/357
東森幼幼 Yoyo TV,http://154.44.15.148:5781/v/1/358
東森戲劇 ETTV Drama,http://154.44.15.148:5781/v/1/359
東森綜合 ETTV Metro,http://154.44.15.148:5781/v/1/364
東森超視,http://154.44.15.148:5781/v/1/367
台視 TTV HD,http://154.44.15.148:5781/v/1/395
台視綜合台,http://154.44.15.148:5781/v/1/397
中天亞洲台,http://154.44.15.148:5781/v/1/368
中天娛樂 CTI Entertaiment,http://154.44.15.148:5781/v/1/369
中天綜合 CTI Metro,http://154.44.15.148:5781/v/1/371
中視 HD,http://154.44.15.148:5781/v/1/372
亞洲旅遊 TLC Asia,http://154.44.15.148:5781/v/1/374
亞洲美食,http://154.44.15.148:5781/v/1/375
八大娛樂 GTV Entertainment,http://154.44.15.148:5781/v/1/376
八大戲劇 GTV Drama,http://154.44.15.148:5781/v/1/377
八大第一 GTV First,http://154.44.15.148:5781/v/1/378
八大綜合 GTV Metro,http://154.44.15.148:5781/v/1/379
公視 CTV,http://154.44.15.148:5781/v/1/380
鳳凰衛視,http://154.44.15.148:5781/v/1/381
鳳凰資訊,http://154.44.15.148:5781/v/1/382
鳳凰香港,http://154.44.15.148:5781/v/1/383
北京衛視,http://154.44.15.148:5781/v/1/384
華麗台,http://154.44.15.148:5781/v/1/385
華視 CTS HD,http://154.44.15.148:5781/v/1/386
衛視中文台,http://154.44.15.148:5781/v/1/393
衛視電影台,http://154.44.15.148:5781/v/1/394
四川衛視,http://154.44.15.148:5781/v/1/398
大愛1台,http://154.44.15.148:5781/v/1/400
大愛2台,http://154.44.15.148:5781/v/1/401
好消息 2,http://154.44.15.148:5781/v/1/402
CCTV-1 綜合 HD,http://154.44.15.148:5781/v/1/78
CCTV-10 科教 HD,http://154.44.15.148:5781/v/1/79
CCTV-11 戲曲,http://154.44.15.148:5781/v/1/80
CCTV-12 社會與法,http://154.44.15.148:5781/v/1/81
CCTV-13 新聞頻道,http://154.44.15.148:5781/v/1/82
CCTV-14 少兒,http://154.44.15.148:5781/v/1/83
CCTV-15 音樂,http://154.44.15.148:5781/v/1/84
CCTV-17,http://154.44.15.148:5781/v/1/85
CCTV-2 財經,http://154.44.15.148:5781/v/1/86
CCTV-3 綜藝 HD,http://154.44.15.148:5781/v/1/87
CCTV-4 中文國際,http://154.44.15.148:5781/v/1/88
