港澳頻道,#genre#
千禧經典 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
星河 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
翡翠 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=huali
黃金翡翠 TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
J2 TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
廣東珠江 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
廣東體育 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
美亞電影粵 TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
鳳凰衛視 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
鳳凰資訊 TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
香港衛視 TVOD,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
重溫經典 TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
prima TVOD,http://php.jdshipin.com/TVOD/iptv.php?id=aod
翡翠台4K TVOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
千禧經典台 smt,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
星河頻道 smt,http://php.jdshipin.com:8880/smt.php?id=Xinhe
華麗台 smt,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
無線翡翠台 smt,http://php.jdshipin.com/smt.php?id=jade_twn
無線新聞 smt,http://php.jdshipin.com/smt.php?id=inews_twn
TVB翡翠台v2,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
TVB星河v2,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
TVB亞洲武俠v2,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
TVB娛樂新聞台v2,http://v2hcdn.jdshipin.com/enew/enew.stream/chunklist_w103.m3u8
TVB無線新聞台v2,http://v2hcdn.jdshipin.com/news/news.stream/chunklist_w105.m3u8
TVB無線直播v2,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist_w10.m3u8
千禧經典台 xyz,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
華麗台 xyz,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
翡翠台 xyz,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
無線新聞台 xyz,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
星河頻道,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB功夫台,https://lb-mvtv-live.v2h-cdn.com/redirect/asia_action1/1asia_action.stream?type=m3u8
美亞C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
tvod翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
tvod翡翠台2,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
tvod翡翠台3,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
tvod翡翠台4,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
tvod翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
tvodTVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
tvodTVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
tvodTVB Plus2,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
tvodVIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
tvodVIUTV2,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
tvodHOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
tvodHOY TV2,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
